Subject,Block,ListNum,cue_target,cue_target,Task,RT,Direction
3,1,46,Design - Architecture,Design ,JOL,6145,S
3,1,47,Bar - Grill,Bar ,JOL,3720,S
3,1,48,Liver - Kidney,Liver ,JOL,3353,S
3,1,49,End - Begin,End ,JOL,2137,S
3,1,50,Wind - Blow,Wind ,JOL,6441,S
3,1,51,Soda - Pop,Soda ,JOL,2981,S
3,1,52,Cheese - Wine,Cheese ,JOL,3979,S
3,1,53,Toilet - Bathroom,Toilet ,JOL,1055,S
3,1,54,Decision - Choice,Decision ,JOL,4822,S
3,1,55,Foot - Shoe,Foot ,JOL,3882,S
3,1,56,Future - Past,Future ,JOL,2183,S
3,1,57,Salad - Lettuce,Salad ,JOL,1468,S
3,1,58,Bee - Honey,Bee ,JOL,4596,S
3,1,60,Round - Circle,Round ,JOL,2256,S
3,1,61,Clutter - Pusher,Clutter ,JOL,1463,U
3,1,62,Sacking - Dietary,Sacking ,JOL,3848,U
3,1,63,Hungry - Park,Hungry ,JOL,3605,U
3,1,64,Woman - Lift,Woman ,JOL,2629,U
3,1,65,Belt - Soon,Belt ,JOL,1712,U
3,1,66,Floor - Discover,Floor ,JOL,4984,U
3,1,67,Business - Death,Business ,JOL,3240,U
3,1,68,Sight - Debate,Sight ,JOL,1998,U
3,1,69,Bronze - Artery,Bronze ,JOL,1763,U
3,1,70,Hand - Fix,Hand ,JOL,5542,U
3,1,71,Position - Machine,Position ,JOL,3007,U
3,1,72,Car - Happy,Car ,JOL,1816,U
3,1,73,Tuck - Allow,Tuck ,JOL,4765,U
3,1,74,Lion - Art,Lion ,JOL,5923,U
3,1,75,Accident - Strong,Accident ,JOL,2715,U
3,1,76,Riddle - Sugar,Riddle ,JOL,4206,U
3,1,77,Add - Valley,Add ,JOL,1465,U
3,1,78,Would - Cash,Would ,JOL,5081,U
3,1,79,Sick - Hide,Sick ,JOL,3498,U
3,1,80,Vase - King,Vase ,JOL,2231,U
3,2,1,Flip - Turn,Flip ,JOL,5036,F
3,2,2,Windshield - Car,Windshield ,JOL,3585,F
3,2,3,Villain - Bad,Villain ,JOL,9050,F
3,2,4,Penguin - Bird,Penguin ,JOL,3324,F
3,2,5,Actress - Star,Actress ,JOL,3842,F
3,2,6,Thimble - Thread,Thimble ,JOL,2654,F
3,2,7,Revenge - Even,Revenge ,JOL,9015,F
3,2,8,Balloon - Pop,Balloon ,JOL,5005,F
3,2,9,Strawberry - Fruit,Strawberry ,JOL,4170,F
3,2,10,Favorite - Best,Favorite ,JOL,2422,F
3,2,11,Panther - Cat,Panther ,JOL,5474,F
3,2,12,Breakable - Glass,Breakable ,JOL,5678,F
3,2,13,Coffin - Dead,Coffin ,JOL,3674,F
3,2,14,Aircraft - Plane,Aircraft ,JOL,2311,F
3,2,15,Sardine - Fish,Sardine ,JOL,8121,F
3,2,16,League - Baseball,League ,JOL,3004,F
3,2,17,Banker - Money,Banker ,JOL,3122,F
3,2,18,Truthful - Honest,Truthful ,JOL,2467,F
3,2,19,Nap - Sleep,Nap ,JOL,8118,F
3,2,20,Brawl - Fight,Brawl ,JOL,4473,F
3,2,21,Long - Extension,Long ,JOL,3174,B
3,2,22,Game - Clue,Game ,JOL,2845,B
3,2,23,Tie - Shoelace,Tie ,JOL,9987,B
3,2,24,Myster - Detective,Myster ,JOL,5765,B
3,2,25,End - Adjourn,End ,JOL,2846,B
3,2,26,Dog - Furry,Dog ,JOL,1842,B
3,2,27,Trash - Litter,Trash ,JOL,8756,B
3,2,28,Red - Cherry,Red ,JOL,3738,B
3,2,29,Head - Scalp,Head ,JOL,3329,B
3,2,30,Car - Driver,Car ,JOL,2896,B
3,2,31,Cut - Chop,Cut ,JOL,10695,B
3,2,32,Donkey - Mule,Donkey ,JOL,4453,B
3,2,33,Paper - Document,Paper ,JOL,3670,B
3,2,34,Smell - Incense,Smell ,JOL,2403,B
3,2,35,Eat - Dine,Eat ,JOL,6299,B
3,2,36,Scissors - Shears,Scissors ,JOL,8656,B
3,2,37,Fight - Feud,Fight ,JOL,3251,B
3,2,38,Plant - Cactus,Plant ,JOL,3137,B
3,2,39,Cold - Chill,Cold ,JOL,9970,B
3,2,40,Love - Affection,Love ,JOL,3871,B
3,2,41,Shave - Razor,Shave ,JOL,5388,S
3,2,42,Equal - Rights,Equal ,JOL,3500,S
3,2,43,Jar - Mason,Jar ,JOL,8792,S
3,2,44,Wax - Candle,Wax ,JOL,3642,S
3,2,45,Bracelet - Wrist,Bracelet ,JOL,3763,S
3,2,46,Carbon - Element,Carbon ,JOL,2406,S
3,2,47,Away - Gone,Away ,JOL,7390,S
3,2,48,Drink - Water,Drink ,JOL,5386,S
3,2,49,Ground - Earth,Ground ,JOL,3476,S
3,2,50,Lonely - Alone,Lonely ,JOL,2170,S
3,2,51,Seatbelt - Safety,Seatbelt ,JOL,5200,S
3,2,52,Lie - Truth,Lie ,JOL,5570,S
3,2,53,Communication - Phone,Communication ,JOL,2301,S
3,2,54,Reel - Rod,Reel ,JOL,2387,S
3,2,55,Tick - Flea,Tick ,JOL,14004,S
3,2,56,Noise - Loud,Noise ,JOL,3451,S
3,2,57,Have - Own,Have ,JOL,2409,S
3,2,58,Temper - Tantrum,Temper ,JOL,2117,S
3,2,59,Tan - Sun,Tan ,JOL,6811,S
3,2,60,Maroon - Justice,Maroon ,JOL,4282,S
3,2,61,Cloth - Stretch,Cloth ,JOL,2686,U
3,2,62,Election - Maze,Election ,JOL,2325,U
3,2,63,Charm - Vehicle,Charm ,JOL,7318,U
3,2,64,Obtain - Meat,Obtain ,JOL,3617,U
3,2,65,Able - Crackle,Able ,JOL,2799,U
3,2,66,Shake - Shell,Shake ,JOL,2091,U
3,2,67,Fiction - Listen,Fiction ,JOL,6018,U
3,2,68,Joke - Keys,Joke ,JOL,2700,U
3,2,69,Hate - Name,Hate ,JOL,3043,U
3,2,70,Bang - Fuzzy,Bang ,JOL,2086,U
3,2,71,Clear - Moat,Clear ,JOL,5149,U
3,2,72,Wet - Dry,Wet ,JOL,2727,U
3,2,73,Steak - Give,Steak ,JOL,2318,U
3,2,74,Late - Early,Late ,JOL,1998,U
3,2,75,Toil - Lease,Toil ,JOL,4644,U
3,2,76,Sign - Loan,Sign ,JOL,6758,U
3,2,77,Ounce - Both,Ounce ,JOL,3037,U
3,2,78,Morning - Temperature,Morning ,JOL,2227,U
3,2,79,Children - Mirror,Children ,JOL,7454,U
3,2,80,Main - Scar,Main ,JOL,3171,U
3,1,1,Enough - ?,Enough ,Recall,1928,F
3,1,2,Sip - ?,Sip ,Recall,8981,F
3,1,3,Cave - ?,Cave ,Recall,5520,F
3,1,4,Seize - ?,Seize ,Recall,2133,F
3,1,5,Growth - ?,Growth ,Recall,2329,F
3,1,6,Word - ?,Word ,Recall,6439,F
3,1,7,Wasp - ?,Wasp ,Recall,4031,F
3,1,8,Division - ?,Division ,Recall,3326,F
3,1,9,Attorney - ?,Attorney ,Recall,2394,F
3,1,10,Fantastic - ?,Fantastic ,Recall,6006,F
3,1,11,Latch - ?,Latch ,Recall,3470,F
3,1,12,Chili - ?,Chili ,Recall,3512,F
3,1,13,Racket - ?,Racket ,Recall,1997,F
